Wl;R
732;0.98
733;0.98
734;0.98
735;0.98
736;0.98
737;0.98
738;0.98
739;0.98
740;0.98
741;0.98
742;0.98
743;0.98
744;0.98
745;0.98
746;0.98
747;0.98
748;0.98
749;0.98
750;0.98
751;0.98
752;0.98
753;0.98
754;0.98
755;0.98
756;0.98
757;0.98
758;0.98
759;0.98
760;0.98
761;0.98
762;0.98
763;0.98
764;0.98
765;0.98
766;0.98
767;0.98
768;0.98
769;0.98
770;0.98
771;0.98
772;0.98
773;0.98
774;0.98
775;0.98
776;0.98
777;0.98
778;0.98
779;0.98
780;0.98
781;0.98
782;0.98
783;0.98
784;0.98
785;0.98
786;0.98
787;0.98
788;0.98
789;0.98
790;0.98
791;0.98
792;0.98
793;0.98
794;0.98
795;0.98
796;0.98
797;0.98
798;0.98
799;0.98
800;0.98
801;0.98
802;0.98
803;0.98
804;0.98
805;0.98
806;0.98
807;0.98
808;0.98
809;0.98
810;0.98
811;0.98
812;0.98
813;0.98
814;0.98
815;0.98
816;0.98
817;0.98
818;0.98
819;0.98
820;0.98
821;0.98
822;0.98
823;0.98
824;0.98
825;0.98
826;0.98
827;0.98
828;0.98
829;0.98
830;0.98
831;0.98
832;0.98
833;0.98
834;0.98
835;0.98
836;0.98
837;0.98
838;0.98
839;0.98
840;0.98
841;0.98
842;0.98
843;0.98
844;0.98
845;0.98
846;0.98
847;0.98
848;0.98
849;0.98
850;0.98
851;0.98
852;0.98
853;0.98
854;0.98
855;0.98
856;0.98
857;0.98
858;0.98
859;0.98
860;0.98
861;0.98
862;0.98
863;0.98
864;0.98
865;0.98
866;0.98
867;0.98
868;0.98
869;0.98
870;0.98
871;0.98
872;0.98
873;0.98
874;0.98
875;0.98
876;0.98
877;0.98
878;0.98
879;0.98
880;0.98
881;0.98
882;0.98
883;0.98
884;0.98
885;0.98
886;0.98
887;0.98
888;0.98
889;0.98
890;0.98
891;0.98
892;0.98
893;0.98
894;0.98
895;0.98
896;0.98
897;0.98
898;0.98
899;0.98
900;0.98
901;0.98
902;0.98
903;0.98
904;0.98
905;0.98
906;0.98
907;0.98
908;0.98
909;0.98
910;0.98
911;0.98
912;0.98
913;0.98
914;0.98
915;0.98
916;0.98
917;0.98
918;0.98
919;0.98
920;0.98
921;0.98
922;0.98
923;0.98
924;0.98
925;0.98
926;0.98
927;0.98
928;0.98
929;0.98
930;0.98
931;0.98
932;0.98
933;0.98
934;0.98
935;0.98
936;0.98
937;0.98
938;0.98
939;0.98
940;0.98
941;0.98
942;0.98
943;0.98
944;0.98
945;0.98
946;0.98
947;0.98
948;0.98
949;0.98
950;0.98
951;0.98
952;0.98
953;0.98
954;0.98
955;0.98
956;0.98
957;0.98
958;0.98
959;0.98
960;0.98
961;0.98
962;0.98
963;0.98
964;0.98
965;0.98
966;0.98
967;0.98
968;0.98
969;0.98
970;0.98
971;0.98
972;0.98
973;0.98
974;0.98
975;0.98
976;0.98
977;0.98
978;0.98
979;0.98
980;0.98
981;0.98
982;0.98
983;0.98
984;0.98
985;0.98
986;0.98
987;0.98
988;0.98
989;0.98
990;0.98
991;0.98
992;0.98
993;0.98
994;0.98
995;0.98
996;0.98
997;0.98
998;0.98
999;0.98
1000;0.98
1001;0.98
1002;0.98
1003;0.98
1004;0.98
1005;0.98
1006;0.98
1007;0.98
1008;0.98
1009;0.98
1010;0.98
1011;0.98
1012;0.98
1013;0.98
1014;0.98
1015;0.98
1016;0.98
1017;0.98
1018;0.98
1019;0.98
1020;0.98
1021;0.98
1022;0.98
1023;0.98
1024;0.98
1025;0.98
1026;0.98
1027;0.98
1028;0.98
1029;0.98
1030;0.98
1031;0.98
1032;0.98
1033;0.98
1034;0.98
1035;0.98
1036;0.98
1037;0.98
1038;0.98
1039;0.98
1040;0.98
1041;0.98
1042;0.98
1043;0.98
1044;0.98
1045;0.98
1046;0.98
1047;0.98
1048;0.98
1049;0.98
1050;0.98
